Period,Year on Year,Month over Month
01/2023,28%,3%
12/2022,25%,1%
11/2022,24%,1%
10/2022,27%,5%
09/2022,23%,-1%
08/2022,27%,2%
07/2022,25%,4%
06/2022,21%,6%
05/2022,14%,0%
04/2022,13%,2%
03/2022,13%,1%
02/2022,12%,1%
01/2022,13%,0%
12/2021,12%,0%
11/2021,12%,3%
10/2021,9%,2%
09/2021,9%,2%
08/2021,8%,1%
07/2021,8%,1%
06/2021,10%,0%
05/2021,11%,0%
04/2021,11%,1%
03/2021,9%,0%
02/2021,9%,2%
01/2021,6%,0%
12/2020,8%,-1%
11/2020,8%,1%
10/2020,9%,2%
09/2020,9%,2%
08/2020,8%,1%
07/2020,9%,3%
06/2020,9%,1%
05/2020,8%,0%
04/2020,9%,-1%
03/2020,10%,0%
02/2020,12%,-1%
01/2020,15%,0%
12/2019,13%,0%
11/2019,13%,1%
10/2019,11%,2%
