date,Growth,Regime
1972,0.8,PPPP
1973,7.1,PPPP
1974,3.5,PPPP
1975,4.2,PPPP
1976,5.2,PPPP
1977,3.9,PPPP
1978,8.0,PPPP
1979,3.8,Zia
1980,10.2,Zia
1981,7.9,Zia
1982,6.5,Zia
1983,6.8,Zia
1984,5.1,Zia
1985,7.6,PML
1986,5.5,PML
1987,6.5,PML
1988,7.6,PML
1989,5.0,PPPP
1990,4.5,PPPP
1991,5.1,PPPP
1992,7.7,PML-N
1993,1.8,PML-N
1994,3.7,PPPP
1995,5.0,PPPP
1996,4.8,PPPP
1997,1.0,PML-N
1998,2.6,PML-N
1999,3.7,PML-N
2000,4.3,Musharaf
2001,2.0,Musharaf
2002,3.2,Musharaf
2003,4.8,PMLQ&Musharaf
2004,7.4,PMLQ&Musharaf
2005,7.7,PMLQ&Musharaf
2006,6.2,PMLQ&Musharaf
2007,4.8,PMLQ&Musharaf
2008,1.7,PPPP
2009,2.8,PPPP
2010,1.6,PPPP
2011,2.7,PPPP
2012,3.5,PPPP
2013,4.4,PMLN
2014,4.7,PMLN
2015,4.7,PMLN
2016,4.6,PMLN
2017,6.1,PMLN
2018,3.1,PTI
2019,-0.9,PTI
2020,5.7,PTI
2021,6.0,PTI
2022,0.2,PDM
