"S.
No.",Detail of Gifts,Name of Recipient,Date,"Assessed
Value",,,,"Retention
cost",retention_cost,,,Remarks,,,
105,"a)  (One     W/Watch     (Graff No.AU750)   18k   gold   +
Dimond
b)  (Pair of Cufflinks.
c)  One Pen.
d)  One Ring.","Prime   Minister   of Pakistan,      Imran Khan",24/09/2018,"a)  Rs.85,000,000/-
b)  Rs.5,670,000/-
c)  Rs.1,500,000/-
d)  Rs.8,750,000/-","100,920,000",0.199940547,,"Rs.20,178,000/-",20178000.00,100890000,,,,,
77,"One       jewelry       set including one necklace, a pair of ear tops, one
ring & one bracelet","Ms.   Sameena   Shahid, wife    of    Mr.    Shahid Khaqan   Abbasi,   Prime
Minister,",17/10/2017,"Rs.99,984,000/-","99,984,000",0.19993999,,"Rs.19,990,800",19990800.00,,,Retained,,,
4,a.  One  BMW  760  Li (Security  version) (model No.2008),"Mr.  Asif  Ali  Zardari, President              of Pakistan",26/01/2009,"a.  Rs.57,828,705 /-","57,828,705",0.279667442,,"Rs.16,172,806/-",16172806.00,-,,Retained,,,
8,"(a)One Bracelet.
(b)One  Necklace  &  Ear Ring.","Begum   Prime   Minister of Pakistan, Wife of Mr. Muhammad        Nawaz
Sharif",13/01/2016,"(a)Rs.12,701,000/-
(b)Rs.41,624,000/-","54,325,000",0.199963185,,"Rs.10,863,000/-",10863000.00,-,,Retained,,,
47,"a)  One necklace
b)  One bracelet
c)  One ring
d)  Pair    of    ear rings","Begum             Prime Minister,  Wife  of  Mr. Imran Khan",24/09/2020,"a)  Rs.10,970,0
00/
b)  Rs.2,430,00
0/-
c)  Rs.2836,000
/-
d)  Rs.1,856,00
0/-",18092000,0.499170904,,"Rs.9,031,000/-",9031000.00,-,,Retained,,,
110,"a)  One          W/Watch (Faberge      TOF14- Limited   Edition   N 04/15)
b)  One Diamond Ring.
c)  One Pen.
d)  One Tasbeeh.
e)  Pair of Cufflinks","Khawaja       Muhammad Asif, Foreign Minister",05/12/2017,"a)  Rs.35,000,000/-
b)  Rs.5,000,000/-
c)  Rs.500,000/-
d)  Rs.600,000/-
e)  Rs.3,300,000/-","44,400,000",0.199864865,,"Rs.8,874,000/-",8874000.00,-,,"Gift auctioned
a. for Rs.28,110/-
b. for",of,Cost,Retained
7,"(a)One      W/      Watch (Christopher Claret)
(b)One Pen.
(c)One Ring.
(d)Pair of Cufflinks.
(e)One Tasbih.","Mr.  Muhammad  Nawaz Sharif,   Prime   Minister of Pakistan",13/01/2016,"(a)Rs.2,000,000/-
(b)Rs.200,000/-
(c)Rs.19,578,375/-
(d)Rs.16,089,484/-
(e)Rs.250,000/-","25,173,659",0.302759801,,"Rs.7,621,572/-",7621572.00,-,,Challan not found,,,
97,"(a)One        Necklace (Gold+ Diamond) (b)One  Ring  (Gold  + Diamond)
(c)One          Bracelet (Gold + Diamond)
(d)Pair  of  Ear  Rings (Gold + Diamond)","First lady, Wife of the President of Pakistan, Mr.             Mamnoon Hussain",26/06/2015,"(a)Rs.16604188/-
(b)Rs. 1442896/-
(c)Rs. 7893128/-
(d)Rs. 3395284/-",29335496,0.199931816,,"Rs.5,865,099/-",5865099.00,-,,"Amount
deposited, gift retained.",,,
63,"a)  One    W/Watch    (Rolex) (G018149)
b)  Pair of Cufflinks
c)  One pen
d)  One Ring
e)  One Tasbih","Mr. Shahid Khaqan Abbasi,         Prime
Minister             of Pakistan",17/04/2018,"a)  Rs.25,000,000/-
b)  Rs.200,000/-
c)  Rs.150,000/-
d)  Rs.125,000/-
e)  Rs.950,000/-","26,425,000",0.199772942,,"Rs.5,279,000/-",5279000.00,-,,"Amount
deposited, gift retained",,,
92,"One    Box    containing one   W/Watch   (Rolex No.Y3S36511),  pair  of cufflinks, one pen, one
ring & one Tasbih.","Prime       Minister       of Pakistan,    Mr.    Shahid Khaqan Abbasi",28/11/2017,"Rs.23,000,000/-","23,000,000",0.19973913,,"Rs.4,594,000/-",4594000.00,-,,"Amount
deposited, gift retained",,,
