Row Labels,Sum of value
"Mian  Muhammad  Shehbaz  Sharif, Prime Minister of Pakistan",160338650
"Prime   Minister   of Pakistan,      Imran Khan",100920000
"Ms.   Sameena   Shahid, wife    of    Mr.    Shahid Khaqan   Abbasi,   Prime
Minister,",99984000
"Mr.  Muhammad  Nawaz Sharif,   Prime   Minister of Pakistan",60088319
"First lady, Wife of the President of Pakistan, Mr.             Mamnoon Hussain",29335496
"Mr  Asif  Ali  Zardari, President              of Pakistan",27339370
"Mr. Shahid Khaqan Abbasi,         Prime
Minister             of Pakistan",26245000
"Prime       Minister       of Pakistan,    Mr.    Shahid Khaqan Abbasi",23027000
Mr.    Abdullah    Khaqan Abbasi.,21346000
"Dr.      Arif      Alvi,
President           of Pakistan",19372850
Mr. Qasim Khan,18985000
"First Lady of Pakistan, wife of       President       Pervaiz Musharraf",18625900
"Begum             Prime Minister,  Wife  of  Mr. Imran Khan",18092000
"Mr.  Nadir  Khaqan
Abbasi,     son     of Prime Minister",17000000
"Khawaja       Muhammad Asif, Foreign Minister",14038788
"Mr. Sartaj Aziz, Advisor to the Prime Minister",13996332
"Begum   Prime   Minister of Pakistan, Wife of Mr. Muhammad        Nawaz
Sharif",12701000
"Mr. Shaukat Aziz, Prime Minister of Pakistan",12208347
"Mr.     Bilawal     Bhutto     Zardari, Minister for Foreign Affairs",11718840
"First             Lady, Sameena Alvi",8302460
"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",8029621
Mr.     Haider     Khaqan Abbasi,8000000
"Khawaja Muhammad Asif, Defense Minister",7235840
Minister for Finance,7222840
"Senator        Muhammad Ishaq     Dar,     Finance Minister of Pakistan",6430000
"Makhdoom     Shah Mehmood  Qureshi, Foreign Minister",6376000
"Mr.    Sohail    Mehmood,    Foreign Secretary",6241170
"Mr.  Asif  Ali  Zardari, President              of Pakistan",6019370
"Ms.  Marriyum  Aurangzeb,  Federal Minister      for      information      & Broadcasting",5972000
Begum Prime Minister of Pakistan,5859000
"General                 Parvez Musharraf,   President   of Pakistan",5587330
Presented  to  Mrs. Naima Alvi,5500000
"Mr.          Abdullah
Khaqan      Abbasi,
son      of      Prime Minister",5500000
"Mr.       Fawad       Hasan Fawad, Secretary to the Prime Minister",5000000
Hafiz  Muhammad  Tahir  Mahmood Ashrafi,4984000
"Ameer        Khurram        Rathore, Ambassador     of     Pakistan     to Kingdom of Saudi Arabia",4972000
"Prime   Minister,   Mr. Imran Khan",4900000
"Mr.    Asif    Ali    Zardari, President of Pakistan",4654695
"Dr. Arif Alvi, President of Pakistan",4569638
